postTitle,profileId,profileName,text,date,Social Media,Cash,CPF Medisave,Income Tax Rebate,CPF RA -SA,NS Credits,CDC Vouchers,U-Save Rebates,S&CC Rebates,Education/Training,Retrenchment,General 
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02ju9uRcX2XTnDsvBToKNTANhzv37Byma4QNf3m8P4fwWY2R93MGUReD9Z5naqi7erl,Derrick Jason De Costa,"I often wonder, when the PAP criticizes opposition for unrealistic proposals that involves spending the reserves, how is it that they don't look at their own budget rollouts and see that the exorbitant spending isn't really necessary? 

Wouldn't rent control, price controls on necessities and reworking the subsidies for housing/education/medical services be a far better solution for the long run? 

And how do all these CDC vouchers, and cash gifts address the stagnating/insufficient industry median wages that our people have to put up with, while standards of living continue to rise?",17/2/2024 13:32,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02aXWJPVoqGLKrhe9r6X8WKRFKHrapdkNJciFVngJqXecsZRUW2U4d1BEdzoBBADwEl,Arulsamy Anthony,Where in the world  can you get a future PM like Mr L W he Keeps giving n giving  for the love of the people n country  eventhough his position pays him peanuts,17/2/2024 11:48,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0Jp3EyFgxXRhuJCwve1V74bNtDp6sGJ2HUrzuD6rYWiXiJB6R4srd5ipJHENpdnhkl,Abu Rabi,"Thank u sir!!!!😃👍
U r the best person & will be a great leader to lead us in the right path👌
Love u sir!!!👏👏",17/2/2024 19:05,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0HKYZnjwTFkG23FJh43cvyyaT21xDiuNAuSfjHdWkcHyQbyVrtHd9fmdWvfK6tR2El,Saqib Mohammad,Lawrence should sing the budget in parliament with a 🎸 more convincing,17/2/2024 18:43,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",6.16E+13,Affected Citizen,So is the ministers pay increasing or still the same.For the sake of our nation Singapore all the ministers vote yourself to take a year no pay and do your serving us the people with your heart .,17/2/2024 23:20,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0CSh2KqBAn8vUY7JYvqSLmpL5b4WSkkDfQr6BprsvFF8bW1RXPhZr8owVgNJxQXU7l,OC Yeo,Explain what is vote buying,17/2/2024 14:59,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0xiz5jyH5FDaRBa1qP3zycQEcX5jFZxSjRZ4VQY2MrgT493TyxdAyYp615jUtrnQAl,Christina Yew,"Can you not see, their larger scheme of things : create a terrible context, give you handouts, make you dependent on them to sustain, then establish power. Similar to China's Belt and Road initiatives, only at a local version.",17/2/2024 11:50,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid035k7toXfpcVWLghLprcN3qgpdYEan3UMVja7FjC6bNBRKryY81wZpykzf4YFY6Udrl,Sage Lee,Best budget ever! For the PAP of course!,17/2/2024 11:50,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02qiHWi1kCZiuYbdc4Ghe8fC1RMaUeVvNTKGMcJCzZwrDmUg4EZ37ZoakCmwZVajrdl,Ang Amanda,"Aiyo Aiyo voting Budget. To win citizens heart, firstly must be SINCERE and No Dirty Tricks. You will win with GLAMOROUS. The Budget do not really cover MUCH.",17/2/2024 11:47,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0bPJmrNWKscxS47DAwzvu6LW6NquARqNK9pA1xjjuw5X4FMsb2eY5Dh3QfoCJd4Pal,Stryker Yeh,"What’s new? Haven’t we seen this movie before. The same old playbook year after year. After GE2020, started raising prices for virtually everything from transport fares (up 20%+!); refuse collection (up 13%); utilities (>10%) and across the board hikes in cost of living. Take a chicken, and now giving you 2 chicken wings and expect people to be happy and vote for them?? Wait long long….",17/2/2024 19:43,Facebook,1,1,1,0,1,1,1,1,0,0,0
